layers,sim
"(1,0)",{2124.437261223793}
"(2,0)",{1637.9228530228138}
"(2,1)",{2540.372353285551}
"(3,0)",{1256.611420944333}
"(3,1)",{1981.601542443037}
"(3,2)",{2699.8610958456993}
"(4,0)",{976.3276197165251}
"(4,1)",{1552.6099314242601}
"(4,2)",{2101.1287118792534}
"(4,3)",{2695.3121571540833}
"(5,0)",{758.3413176834583}
"(5,1)",{1234.894979789853}
"(5,2)",{1669.2015907764435}
"(5,3)",{2109.851265668869}
"(5,4)",{2754.967231810093}
"(6,0)",{644.7878494225442}
"(6,1)",{1050.10315990448}
"(6,2)",{1392.1152583807707}
"(6,3)",{1726.6672824323177}
"(6,4)",{2222.842927902937}
"(6,5)",{2748.2618265151978}
"(7,0)",{529.1878065033816}
"(7,1)",{922.9378648996353}
"(7,2)",{1199.780406281352}
"(7,3)",{1483.8762551248074}
"(7,4)",{1899.8168485760689}
"(7,5)",{2309.778102040291}
"(7,6)",{2753.0799298882484}
"(8,0)",{467.5750889603514}
"(8,1)",{840.2111822590232}
"(8,2)",{1093.9953300356865}
"(8,3)",{1320.0700169056654}
"(8,4)",{1656.036174863577}
"(8,5)",{1981.0910824239254}
"(8,6)",{2287.3119950294495}
"(8,7)",{2789.932186424732}
"(9,0)",{461.8477907149354}
"(9,1)",{816.3873728513718}
"(9,2)",{1029.4174930006266}
"(9,3)",{1217.121668189764}
"(9,4)",{1501.3152987957}
"(9,5)",{1749.6924259662628}
"(9,6)",{1986.2030325829983}
"(9,7)",{2373.8156817555428}
"(9,8)",{2870.4923332333565}
"(10,0)",{414.5094076298992}
"(10,1)",{725.2036918215454}
"(10,2)",{931.4824868440628}
"(10,3)",{1112.808952614665}
"(10,4)",{1357.9429255723953}
"(10,5)",{1554.5683753788471}
"(10,6)",{1743.4729698896408}
"(10,7)",{2048.307405024767}
"(10,8)",{2411.2133054733276}
"(10,9)",{2899.9401105046272}
"(11,0)",{409.0771367293346}
"(11,1)",{679.432570932433}
"(11,2)",{877.0395667552948}
"(11,3)",{1041.421508178115}
"(11,4)",{1235.9660053253174}
"(11,5)",{1395.5319678783417}
"(11,6)",{1536.396294504404}
"(11,7)",{1796.9891868531704}
"(11,8)",{2075.867279559374}
"(11,9)",{2475.30075186491}
"(11,10)",{2983.131855070591}
"(12,0)",{382.20551134238485}
"(12,1)",{617.0647523403168}
"(12,2)",{781.0018710941076}
"(12,3)",{895.5449678301811}
"(12,4)",{1043.1184915453196}
"(12,5)",{1155.553350791335}
"(12,6)",{1255.0550314635038}
"(12,7)",{1448.3879674375057}
"(12,8)",{1651.1299180090427}
"(12,9)",{1941.85786819458}
"(12,10)",{2297.1024612784386}
"(12,11)",{2736.5717148780823}
